Eb/N0 [dB],P_ep,P_eb,Gc (dB),Ga (dB)
1.0,0.36255,0.085358,-1.276479593580369,1.5490195998574319
1.3103448275862069,0.323,0.07547,-1.1762307017744238,1.5490195998574319
1.6206896551724137,0.28612,0.065864,-1.066865679323782,1.5490195998574319
1.9310344827586208,0.24241,0.055246,-0.8807548640837028,1.5490195998574319
2.2413793103448274,0.20903,0.047232,-0.7853643839358024,1.5490195998574319
2.5517241379310347,0.17543,0.039269,-0.655558541092242,1.5490195998574319
2.8620689655172415,0.1435,0.031847,-0.5086951759993839,1.5490195998574319
3.1724137931034484,0.1171,0.025813,-0.3987889478868407,1.5490195998574319
3.4827586206896552,0.09509,0.020888,-0.31859240663291954,1.5490195998574319
3.793103448275862,0.07272,0.015772,-0.1540613556630328,1.5490195998574319
4.103448275862069,0.05587,0.012027,-0.04594364519391192,1.5490195998574319
4.413793103448276,0.04144,0.008884,0.07240450482020755,1.5490195998574319
4.724137931034483,0.02987,0.006395,0.1880269387816318,1.5490195998574319
5.0344827586206895,0.02103,0.004484,0.2989082983040561,1.5490195998574319
5.344827586206897,0.01464,0.003136,0.3783379624345251,1.5490195998574319
5.655172413793103,0.00973,0.002057,0.49000352611579423,1.5490195998574319
5.9655172413793105,0.00695,0.001437,0.5111390958612985,1.5490195998574319
6.275862068965518,0.00416,0.000867,0.631304723206199,1.5490195998574319
6.586206896551724,0.00242,0.000495,0.7562595219596622,1.5490195998574319
6.8965517241379315,0.00158,0.000341,0.71433006578249,1.5490195998574319
7.206896551724138,0.00086,0.000188,0.8029668595778068,1.5490195998574319
7.517241379310345,0.00043,8.8e-05,0.9558308749457236,1.5490195998574319
7.827586206896552,0.00018,3.2e-05,1.198003781932563,1.5490195998574319
8.137931034482758,0.00013,2.7e-05,0.9742425829442194,1.5490195998574319
8.448275862068966,5.5098442550690565e-05,1.2856303261827798e-05,1.0238718685879675,1.5490195998574319
8.758620689655173,2.6486417764970123e-05,5.297283552994025e-06,1.1093442999261391,1.5490195998574319
9.068965517241379,0.0,0.0,inf,1.5490195998574319
9.379310344827587,6.262348568583676e-06,1.565587142145919e-06,0.9818764142087524,1.5490195998574319
9.689655172413794,3.1896247884880062e-06,7.176655774098014e-07,0.961048512408599,1.5490195998574319
10.0,7.744217779794716e-07,1.5488435559589434e-07,1.170695087616176,1.5490195998574319
